ASV,stat,p-value,OA,Division,Genus,Species,Abundance
ASV7920,0.517,0.001,High,Alveolata,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,0.721318063
ASV7912,0.337,0.001,High,Stramenopiles,Unknown Gyrista (Subdivision),Unknown Gyrista (Subdivision),0.109229729
ASV7884,0.221,0.001,High,Alveolata,Unknown Dino-Group-II (Order),Unknown Dino-Group-II (Order),0.014795331
ASV7851,0.256,0.001,High,Stramenopiles,MOCH-2_XXX,MOCH-2_XXX_sp.,0.025937494
ASV7846,0.252,0.001,High,Stramenopiles,MAST-4C,MAST-4C_sp.,0.112334922
ASV784,0.273,0.001,High,Stramenopiles,Unknown Gyrista (Subdivision),Unknown Gyrista (Subdivision),0.042194093
ASV7687,0.267,0.001,High,Alveolata,Heterocapsa,Heterocapsa_nei/rotundata,0.162931302
ASV7629,0.353,0.001,High,Stramenopiles,MAST-3K,MAST-3K_sp.,0.064661077
ASV7441,0.24,0.001,High,Alveolata,Dino-Group-V_XX,Dino-Group-V_XX_sp.,0.041463459
ASV7294,0.235,0.001,High,Alveolata,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.,0.175717391
ASV6942,0.3,0.001,High,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.115440115
ASV6624,0.304,0.001,High,Stramenopiles,MAST-4C,MAST-4C_sp.,0.739766563
ASV6457,0.343,0.001,High,Alveolata,Karlodinium,Karlodinium_veneficum,0.680585238
ASV6318,0.288,0.001,High,Alveolata,Unknown Dino-Group-II (Order),Unknown Dino-Group-II (Order),0.107768462
ASV623,0.337,0.001,High,Alveolata,Gymnodinium,Gymnodinium_sp.,0.209874514
ASV6134,0.48,0.001,High,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.61939467
ASV6117,0.214,0.001,High,Chlorophyta,Pyramimonas,Unknown Pyramimonas (Genus),0.047308528
ASV605,0.541,0.001,High,Haptophyta,Unknown Prymnesiophyceae (Class),Unknown Prymnesiophyceae (Class),0.8871719
ASV5968,0.277,0.001,High,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.160739401
ASV5926,0.221,0.001,High,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.137724442
ASV5804,0.477,0.001,High,Alveolata,Pentapharsodinium,Pentapharsodinium_tyrrhenicum,0.246406196
ASV5771,0.242,0.001,High,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.065209053
ASV5577,0.215,0.001,High,Others,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.,0.05059638
ASV5418,0.312,0.001,High,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.09187718
ASV541,0.274,0.001,High,Alveolata,Dino-Group-II-Clade-22_X,Dino-Group-II-Clade-22_X_sp.,0.123659744
ASV5234,0.275,0.001,High,Stramenopiles,Melkoniana,Melkoniana_sp.,0.075437924
ASV512,0.331,0.001,High,Stramenopiles,Chrysophyceae_Clade-EC2I_XX,Chrysophyceae_Clade-EC2I_XX_sp.,0.147953313
ASV5025,0.176,0.001,High,Alveolata,Dino-Group-II-Clade-1_X,Dino-Group-II-Clade-1_X_sp.,0.117997333
ASV50,0.318,0.001,High,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.1172667
ASV4993,0.208,0.001,High,Haptophyta,Chrysochromulina,Chrysochromulina_sp.,0.026120153
ASV4830,0.214,0.001,High,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.034887756
ASV4804,0.225,0.001,High,Alveolata,Unknown Syndiniales (Class),Unknown Syndiniales (Class),0.022101668
ASV4707,0.532,0.001,High,Stramenopiles,MAST-3E,MAST-3E_sp.,0.341571228
ASV4670,0.556,0.001,High,Alveolata,Dino-Group-III_XX,Dino-Group-III_XX_sp.,0.765886715
ASV4664,0.262,0.001,High,Others,Hemiselmis,Hemiselmis_rufescens,0.368787331
ASV4202,0.293,0.001,High,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.080552359
ASV420,0.415,0.001,High,Alveolata,Dinophyceae_XXX,Dinophyceae_XXX_sp.,0.239282518
ASV4148,0.232,0.001,High,Haptophyta,Unknown Prymnesiales (Order),Unknown Prymnesiales (Order),0.02648547
ASV4060,0.233,0.001,High,Alveolata,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6_X_sp.,0.164575228
ASV4030,0.35,0.001,High,Rhizaria,Lychnaspis_E2,Lychnaspis_E2_giltschii,0.119275942
ASV3860,0.275,0.001,High,Rhizaria,Unknown Cercozoa (Subdivision),Unknown Cercozoa (Subdivision),0.035983707
ASV3779,0.254,0.001,High,Alveolata,Schuettiella,Schuettiella_mitra,0.073793998
ASV366,0.312,0.001,High,Alveolata,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,0.096991616
ASV3423,0.394,0.001,High,Alveolata,Dino-Group-V_XX,Dino-Group-V_XX_sp.,0.219738068
ASV3406,0.24,0.001,High,Stramenopiles,MAST-1D,MAST-1D_sp.,0.037262316
ASV3276,0.261,0.001,High,Haptophyta,Chrysochromulina,Chrysochromulina_sp.,0.032513197
ASV3123,0.313,0.001,High,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.427055364
ASV2986,0.497,0.001,High,Stramenopiles,MAST-1D,MAST-1D_sp.,0.242205052
ASV2984,0.377,0.001,High,Alveolata,Paragymnodinium,Paragymnodinium_shiwhaense,0.105576561
ASV2605,0.285,0.001,High,Chlorophyta,Halosphaera,Halosphaera_sp.,0.079821725
ASV2501,0.343,0.001,High,Alveolata,Dino-Group-I-Clade-8_X,Dino-Group-I-Clade-8_X_sp.,0.134984565
ASV2467,0.25,0.001,High,Rhizaria,Chlorarachnion,Chlorarachnion_reptans,0.015343306
ASV23948,0.415,0.001,High,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.271613056
ASV23659,0.26,0.001,High,Stramenopiles,MAST-7C,MAST-7C_sp.,0.082926918
ASV23566,0.222,0.001,High,Others,Opisthokonta_XXXXX,Opisthokonta_XXXXX_sp.,0.058816008
ASV23527,0.349,0.001,High,Haptophyta,Unknown Prymnesiophyceae (Class),Unknown Prymnesiophyceae (Class),0.05863335
ASV2351,0.297,0.001,High,Alveolata,Unknown Dino-Group-II (Order),Unknown Dino-Group-II (Order),0.143204194
ASV23509,0.531,0.001,High,Stramenopiles,MOCH-5_XXX,MOCH-5_XXX_sp.,0.832374377
ASV23507,0.442,0.001,High,Alveolata,Unknown Gymnodiniaceae (Family),Unknown Gymnodiniaceae (Family),3.49918717
ASV23445,0.389,0.001,High,Alveolata,Dino-Group-II-Clade-17_X,Dino-Group-II-Clade-17_X_sp.,0.059363983
ASV23241,0.354,0.001,High,Alveolata,Dino-Group-II-Clade-26_X,Dino-Group-II-Clade-26_X_sp.,0.064113102
ASV23033,0.344,0.001,High,Haptophyta,Chrysochromulina,Chrysochromulina_sp.,0.107403145
ASV2295,0.248,0.001,High,Alveolata,Dino-Group-II-Clade-25_X,Dino-Group-II-Clade-25_X_sp.,0.023380277
ASV22945,0.23,0.001,High,Alveolata,Dino-Group-II-Clade-1_X,Dino-Group-II-Clade-1_X_sp.,0.049683088
ASV22938,0.424,0.001,High,Alveolata,Dino-Group-V_XX,Dino-Group-V_XX_sp.,0.26430672
ASV22789,0.206,0.001,High,Alveolata,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.,0.01607394
ASV22434,0.359,0.001,High,Rhizaria,RAD-A_Xb_X,RAD-A_Xb_X_sp.,0.470345407
ASV22292,0.449,0.001,High,Alveolata,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.,0.284399145
ASV21777,0.342,0.001,High,Alveolata,Warnowia,Warnowia_sp.,1.290846987
ASV21676,0.519,0.001,High,Alveolata,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,0.444955888
ASV21648,0.265,0.001,High,Stramenopiles,Unknown Dictyochophyceae_X (Order),Unknown Dictyochophyceae_X (Order),0.057902716
ASV21571,0.491,0.001,High,Haptophyta,Phaeocystis,Phaeocystis_sp.,0.147222679
ASV21332,0.329,0.001,High,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.052970939
ASV21176,0.263,0.001,High,Alveolata,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,0.107585804
ASV21050,0.297,0.001,High,Stramenopiles,Stramenopiles_XXXXX,Stramenopiles_XXXXX_sp.,0.150693189
ASV210,0.225,0.001,High,Alveolata,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,0.033609148
ASV20818,0.198,0.001,High,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.064113102
ASV20768,0.264,0.001,High,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.070506146
ASV20735,0.29,0.001,High,Alveolata,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,1.458710066
ASV20542,0.552,0.001,High,Alveolata,Dino-Group-V_XX,Dino-Group-V_XX_sp.,0.631084808
ASV20413,0.295,0.001,High,Stramenopiles,MAST-11_X,MAST-11_X_sp.,0.06429576
ASV20147,0.271,0.001,High,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.188868796
ASV20046,0.238,0.001,High,Others,Basal_Cryptophyceae-2_X,Basal_Cryptophyceae-2_X_sp.,0.010959505
ASV19998,0.247,0.001,High,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.076716532
ASV19995,0.595,0.001,High,Others,Kathablepharidida_XX,Kathablepharidida_XX_sp.,0.539755603
ASV19877,0.284,0.001,High,Rhizaria,Chlorarachnion,Chlorarachnion_reptans,0.033061172
ASV19823,0.328,0.001,High,Alveolata,Unknown Dino-Group-II (Order),Unknown Dino-Group-II (Order),0.059911959
ASV19566,0.266,0.001,High,Alveolata,Dino-Group-II-Clade-1_X,Dino-Group-II-Clade-1_X_sp.,0.109777705
ASV19547,0.402,0.001,High,Stramenopiles,MOCH-2_XXX,MOCH-2_XXX_sp.,0.165671178
ASV19332,0.218,0.001,High,Alveolata,Dino-Group-II-Clade-14_X,Dino-Group-II-Clade-14_X_sp.,0.008950262
ASV19330,0.428,0.001,High,Alveolata,Prorocentrum,Prorocentrum_sp.,0.332620966
ASV19274,0.255,0.001,High,Alveolata,Dino-Group-II-Clade-22_X,Dino-Group-II-Clade-22_X_sp.,0.067218295
ASV19148,0.467,0.001,High,Stramenopiles,MAST-1C,MAST-1C_sp.,0.250242022
ASV19100,0.252,0.001,High,Rhizaria,Unknown Acantharea (Class),Unknown Acantharea (Class),0.031417247
ASV18984,0.308,0.001,High,Alveolata,Dino-Group-II-Clade-23_X,Dino-Group-II-Clade-23_X_sp.,0.028860029
ASV18853,0.259,0.001,High,Alveolata,Dino-Group-V_XX,Dino-Group-V_XX_sp.,0.054249548
ASV18661,0.244,0.001,High,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.040732826
ASV18633,0.366,0.001,High,Alveolata,Dino-Group-II-Clade-8_X,Dino-Group-II-Clade-8_X_sp.,0.184667653
ASV18631,0.234,0.001,High,Alveolata,Blastodinium,Blastodinium_mangini,0.075620582
ASV18507,0.434,0.001,High,Haptophyta,Haptophyta_Clade_HAP2_XXX,Haptophyta_Clade_HAP2_XXX_sp.,0.203846786
ASV18301,0.242,0.001,High,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.033426489
ASV18286,0.335,0.001,High,Alveolata,Syndiniales_XXX,Syndiniales_XXX_sp.,0.350156173
ASV18275,0.376,0.001,High,Stramenopiles,MAST-3F,MAST-3F_sp.,0.181379802
ASV18092,0.38,0.001,High,Alveolata,Dino-Group-II-Clade-12_X,Dino-Group-II-Clade-12_X_sp.,0.327689188
ASV18010,0.278,0.001,High,Alveolata,Dino-Group-III_XX,Dino-Group-III_XX_sp.,0.060642592
ASV17686,0.236,0.001,High,Others,Picozoa_XXXXX,Picozoa_XXXXX_sp.,1.035490529
ASV17584,0.301,0.001,High,Alveolata,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.,0.061190568
ASV17253,0.239,0.001,High,Alveolata,Unknown Dino-Group-II (Order),Unknown Dino-Group-II (Order),0.056989424
ASV17017,0.42,0.001,High,Alveolata,Gyrodinium,Unknown Gyrodinium (Genus),1.438252324
ASV16846,0.335,0.001,High,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.147405337
ASV16731,0.262,0.001,High,Chlorophyta,Unknown Chlorophyta_X (Subdivision),Unknown Chlorophyta_X (Subdivision),0.027398762
ASV16512,0.426,0.001,High,Others,Pterocystida_XXX,Pterocystida_XXX_sp.,0.154529015
ASV16394,0.205,0.001,High,Alveolata,Warnowia,Warnowia_sp.,0.044933969
ASV16349,0.252,0.001,High,Alveolata,Dino-Group-II-Clade-2_X,Dino-Group-II-Clade-2_X_sp.,0.035801048
ASV16322,0.442,0.001,High,Alveolata,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,0.465961605
ASV16264,0.33,0.001,High,Alveolata,Unknown Syndiniales (Class),Unknown Syndiniales (Class),0.207865271
ASV16099,0.377,0.001,High,Stramenopiles,Bacillariophyceae_XXX,Bacillariophyceae_XXX_sp.,0.383582662
ASV16086,0.296,0.001,High,Discoba,Hemistasia,Hemistasia_sp.,0.037810291
ASV15913,0.365,0.001,High,Others,Stephanoecidae_Group_D_X,Stephanoecidae_Group_D_X_sp.,0.098270225
ASV15714,0.234,0.001,High,Others,Spizellomycetales_XX,Spizellomycetales_XX_sp.,0.021005717
ASV15576,0.208,0.001,High,Alveolata,Gymnodinium,Gymnodinium_sp.,0.043107385
ASV15248,0.345,0.001,High,Alveolata,Dino-Group-I-Clade-6_X,Dino-Group-I-Clade-6_X_sp.,0.211335781
ASV15198,0.348,0.001,High,Chlorophyta,Halosphaera,Halosphaera_sp.,0.097174274
ASV14975,0.359,0.001,High,Haptophyta,Chrysochromulina,Unknown Chrysochromulina (Genus),0.057172082
ASV14847,0.334,0.001,High,Alveolata,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.,0.133523298
ASV14690,0.203,0.001,High,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.024476227
ASV14635,0.335,0.001,High,Stramenopiles,MOCH-2_XXX,MOCH-2_XXX_sp.,0.124390378
ASV14576,0.558,0.001,High,Stramenopiles,MAST-4B,MAST-4B_sp.,0.623413155
ASV14431,0.677,0.001,High,Stramenopiles,MAST-3B,MAST-3B_sp.,0.70104298
ASV14389,0.363,0.001,High,Stramenopiles,MAST-3C,MAST-3C_sp.,0.138820392
ASV14244,0.201,0.001,High,Alveolata,Dinophyceae_XXX,Dinophyceae_XXX_sp.,0.028129395
ASV14061,0.279,0.001,High,Others,Picozoa_XXXXX,Picozoa_XXXXX_sp.,0.029225346
ASV14010,0.424,0.001,High,Alveolata,Tripos,Tripos_fusus,0.420662319
ASV14001,0.3,0.001,High,Alveolata,Dino-Group-II-Clade-13_X,Dino-Group-II-Clade-13_X_sp.,0.057537399
ASV13740,0.285,0.001,High,Alveolata,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,0.066487661
ASV13662,0.305,0.001,High,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.176082708
ASV13574,0.356,0.001,High,Stramenopiles,Chrysophyceae_Clade-EC2H_XX,Chrysophyceae_Clade-EC2H_XX_sp.,0.08621477
ASV1341,0.238,0.001,High,Discoba,Eupelagonemidae_X,Eupelagonemidae_X_sp.,0.02867737
ASV13378,0.443,0.001,High,Stramenopiles,MAST-11_X,MAST-11_X_sp.,0.408241547
ASV13209,0.361,0.001,High,Alveolata,Prorocentrum,Prorocentrum_sp.,0.160556743
ASV13104,0.292,0.001,High,Alveolata,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,0.104663269
ASV13054,0.449,0.001,High,Alveolata,Dino-Group-III_XX,Dino-Group-III_XX_sp.,0.171881564
ASV13033,0.252,0.001,High,Haptophyta,Chrysochromulina,Chrysochromulina_sp.,0.013516722
ASV13030,0.217,0.001,High,Haptophyta,Chrysochromulina,Chrysochromulina_campanulifera,0.067583612
ASV12776,0.274,0.001,High,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.319104243
ASV12726,0.372,0.001,High,Alveolata,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,0.095165032
ASV1243,0.331,0.001,High,Alveolata,Unknown Oligotrichida (Order),Unknown Oligotrichida (Order),0.43783221
ASV12424,0.24,0.001,High,Alveolata,Ceratocorys,Unknown Ceratocorys (Genus),0.023745593
ASV1232,0.493,0.001,High,Stramenopiles,MAST-1D,MAST-1D_sp.,0.706522732
ASV12249,0.275,0.001,High,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.061007909
ASV12226,0.35,0.001,High,Haptophyta,Haptophyta_Clade_HAP2_XXX,Haptophyta_Clade_HAP2_XXX_sp.,0.088771988
ASV11877,0.305,0.001,High,Others,Prasinococcus,Prasinococcus_capsulatus,0.037810291
ASV11746,0.357,0.001,High,Alveolata,Dino-Group-II-Clade-16_X,Dino-Group-II-Clade-16_X_sp.,0.315268417
ASV11687,0.281,0.001,High,Stramenopiles,MAST-8B,MAST-8B_sp.,0.035983707
ASV1165,0.375,0.001,High,Chlorophyta,Unknown Chlorophyta_X (Subdivision),Unknown Chlorophyta_X (Subdivision),0.1172667
ASV11095,0.39,0.001,High,Alveolata,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,0.177909292
ASV10969,0.297,0.001,High,Rhizaria,Chlorarachnion,Chlorarachnion_reptans,0.049135112
ASV10944,0.25,0.001,High,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.061555884
ASV10791,0.392,0.001,High,Stramenopiles,MAST-9A,MAST-9A_sp.,0.167680421
ASV10676,0.211,0.001,High,Alveolata,Dino-Group-II-Clade-20_X,Dino-Group-II-Clade-20_X_sp.,0.362576945
ASV10513,0.372,0.001,High,Alveolata,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,0.211701098
ASV10308,0.268,0.001,High,Alveolata,Takayama,Takayama_pulchella,0.315085758
ASV10291,0.35,0.001,High,Alveolata,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.,0.815021828
ASV10173,0.357,0.001,High,Stramenopiles,Pedinellales_X,Pedinellales_X_sp.,0.068496904
ASV10106,0.295,0.001,High,Alveolata,Unknown Dinoflagellata (Subdivision),Unknown Dinoflagellata (Subdivision),0.102106051
ASV14168,0.434,0.001,Low,Others,Cryptomonadales_XX,Cryptomonadales_XX_sp.,0.356099597
ASV15036,0.432,0.001,Low,Chlorophyta,Ostreococcus,Unknown Ostreococcus (Genus),5.547364028
ASV4573,0.414,0.001,Low,Alveolata,Euduboscquella,Euduboscquella_sp.,0.81420689
ASV22086,0.385,0.001,Low,Haptophyta,Emiliania,Emiliania_huxleyi,0.251309872
ASV15532,0.38,0.001,Low,Alveolata,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,0.124263922
ASV23461,0.365,0.001,Low,Alveolata,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,1.129967079
ASV20918,0.323,0.001,Low,Alveolata,Gyrodiniellum,Gyrodiniellum_shiwhaense,0.156720916
ASV4009,0.317,0.001,Low,Stramenopiles,Unknown Bacillariophyceae (Class),Unknown Bacillariophyceae (Class),0.106180739
ASV2858,0.307,0.001,Low,Chlorophyta,Bathycoccus,Bathycoccus_prasinos,0.689479297
ASV10782,0.306,0.001,Low,Stramenopiles,MAST-1B,MAST-1B_sp.,0.119163537
ASV19033,0.304,0.001,Low,Haptophyta,Chrysochromulina,Chrysochromulina_sp.,0.324106273
ASV10199,0.303,0.001,Low,Stramenopiles,Minutocellus,Minutocellus_sp.,0.289330922
ASV23822,0.3,0.001,Low,Rhizaria,Protaspa,Protaspa_sp.,0.125654936
ASV22569,0.294,0.001,Low,Stramenopiles,MOCH-4_XXX,MOCH-4_XXX_sp.,0.169703714
ASV1231,0.294,0.001,Low,Others,Unknown Cryptomonadales:nucl (Order),Unknown Cryptomonadales:nucl (Order),0.09968934
ASV23571,0.289,0.001,Low,Alveolata,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.,1.792089767
ASV465,0.285,0.001,Low,Stramenopiles,Chrysophyceae_Clade-EC2H_XX,Chrysophyceae_Clade-EC2H_XX_sp.,0.050540177
ASV11909,0.282,0.001,Low,Stramenopiles,Unknown Bacillariophyceae (Class),Unknown Bacillariophyceae (Class),0.055176891
ASV4433,0.28,0.001,Low,Chlorophyta,Chloroparvula,Chloroparvula_pacifica,0.68345157
ASV20135,0.279,0.001,Low,Stramenopiles,Unknown Gyrista (Subdivision),Unknown Gyrista (Subdivision),0.30926879
ASV20253,0.276,0.001,Low,Alveolata,Unknown Dinophyceae (Class),Unknown Dinophyceae (Class),0.09273427
ASV4571,0.275,0.001,Low,Stramenopiles,MAST-3E,MAST-3E_sp.,0.059349933
ASV17099,0.275,0.001,Low,Alveolata,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6_X_sp.,0.692724997
ASV23317,0.273,0.001,Low,Chlorophyta,Unknown Chlorellales_X (Family),Unknown Chlorellales_X (Family),0.322715259
ASV18208,0.273,0.001,Low,Others,Kathablepharidida_XX,Kathablepharidida_XX_sp.,0.094125284
ASV9085,0.272,0.001,Low,Stramenopiles,Cyclotella,Cyclotella_choctawhatcheeana,0.525339639
ASV8131,0.271,0.001,Low,Alveolata,Dino-Group-II-Clade-16_X,Dino-Group-II-Clade-16_X_sp.,0.372328094
ASV22342,0.27,0.001,Low,Alveolata,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,0.038021051
ASV20228,0.269,0.001,Low,Alveolata,Gyrodinium,Unknown Gyrodinium (Genus),3.670422405
ASV10444,0.268,0.001,Low,Alveolata,Dino-Group-III_XX,Dino-Group-III_XX_sp.,0.096443641
ASV14693,0.266,0.001,Low,Alveolata,Heterocapsa,Heterocapsa_nei/rotundata,0.281912181
ASV7102,0.263,0.001,Low,Alveolata,Chattonaria,Chattonaria_mesnili,0.591180971
ASV22613,0.263,0.001,Low,Alveolata,Unknown Dino-Group-II (Order),Unknown Dino-Group-II (Order),0.113599481
ASV2221,0.263,0.001,Low,Stramenopiles,Thalassiosira,Unknown Thalassiosira (Genus),0.159502944
ASV15649,0.263,0.001,Low,Haptophyta,Phaeocystis,Unknown Phaeocystis (Genus),0.043585107
ASV16083,0.262,0.001,Low,Stramenopiles,Unknown Gyrista (Subdivision),Unknown Gyrista (Subdivision),0.074651087
ASV9252,0.261,0.001,Low,Alveolata,Unknown Peridiniales (Order),Unknown Peridiniales (Order),0.548523207
ASV21211,0.26,0.001,Low,Stramenopiles,Skeletonema,Skeletonema_sp.,0.442806139
ASV6157,0.258,0.001,Low,Stramenopiles,Pelagomonas,Pelagomonas_calceolata,0.622710623
ASV11999,0.258,0.001,Low,Rhizaria,Astrosphaera,Astrosphaera_hexagonalis,0.525339639
ASV11570,0.258,0.001,Low,Alveolata,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,0.332452358
ASV23815,0.257,0.001,Low,Others,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.,0.033384337
ASV11058,0.257,0.001,Low,Stramenopiles,Skeletonema,Skeletonema_menzellii,0.172949413
ASV2133,0.256,0.001,Low,Chlorophyta,Picochlorum,Picochlorum_sp.,0.53600408
ASV4374,0.254,0.001,Low,Others,Unknown Choanoflagellatea (Class),Unknown Choanoflagellatea (Class),0.028283952
ASV908,0.253,0.001,Low,Alveolata,Dino-Group-II-Clade-4_X,Dino-Group-II-Clade-4_X_sp.,0.044048778
ASV339,0.253,0.001,Low,Stramenopiles,Cyclotella,Cyclotella_striata,0.226271619
ASV3134,0.253,0.001,Low,Stramenopiles,Unknown Gyrista (Subdivision),Unknown Gyrista (Subdivision),0.054713219
ASV17370,0.253,0.001,Low,Stramenopiles,Bacillariophyceae_XXX,Bacillariophyceae_XXX_sp.,0.508647471
ASV21980,0.252,0.001,Low,Rhizaria,Cercozoa_XXXX,Cercozoa_XXXX_sp.,0.018546854
ASV15396,0.252,0.001,Low,Stramenopiles,Navicula,Navicula_sp.,0.100153012
ASV3083,0.251,0.001,Low,Chlorophyta,Micromonas,Micromonas_commoda_A1,0.776649511
