sample_name,cluster_16S,cluster_18S,replicate,serial_number,project_id,project_title,project_description,project_proposal,notes,collection_date_only,collection_time_local_only,station,region,distance,degrees_latitude,degrees_longitude,Chla_wsw,Chla_<20,Chla_>20,depth_meters,depth_category,ctd_bottle_no,volume_filtered_ml,sample_collection_device,sample_collection_method,sample_material_procesing,size_fraction,env_material,sample_type,temp,salinity,pressure,temp_station,temp_depth,ctdoxy,oxygen,phosphate,silicate,nitrate,nitrite,nitrate_nitrite,nh4,dic,total_alkalinity,pCO2_uncorrected,pH_uncorrected,carbonate,OMEGA_AR,pH_corrected,pCO2_corrected,dna_sample_number,dna_conc,dna_yield,dna_yield_filtered,plate,plate_name,well_number,well_position,station_depth,ship_crs_expocode,woce_sect,date,utc_time,lat_lon,submitted_to_insdc,investigation_type,samp_mat_process,target_gene,additional_notes,notes_on_bottle_metadata,seascape_class,seascape_probability,seascape_window,transmittance,fluorescence,Hydrogen_ion,alk_dic_ratio,alk_dic_oa
GOMECC4_GALVESTON_Sta54_Deep_B,Cluster 3,Cluster 3,B,GOMECC4_175,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,Fired,9/28/21,08:36-04:00,Sta54,GALVESTON,offshore,27.5,95.004,NA,NA,NA,869,Deep,1,1940,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,5.907,34.912,877,5.907_54,5.907_869,150.7,151.55,1.86641,24.7631,28.2157,0.00488,28.2206,0.20109,2217.63,2322.33,1009.29,7.62078,91.7423,1.108,7.866,577,175,0.06445,9.6675,4.983247423,Plate1,GOMECC2021_Plate1,23,G3,54_869,WBTSRHB,RB2103,9/28/21,12:56+00:00,27.5_95.004,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,Bottle 13.,15,0.510830045,monthly,4.6248,0.0317,1.36E-08,1.047212565,Low
GOMECC4_GALVESTON_Sta54_Deep_C,Cluster 3,Cluster 3,C,GOMECC4_176,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,Fired,9/28/21,08:36-04:00,Sta54,GALVESTON,offshore,27.5,95.004,NA,NA,NA,869,Deep,1,1940,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,5.907,34.912,877,5.907_54,5.907_869,150.7,151.55,1.86641,24.7631,28.2157,0.00488,28.2206,0.20109,2217.63,2322.33,1009.29,7.62078,91.7423,1.108,7.866,577,176,0.1925,28.875,14.88402062,Plate1,GOMECC2021_Plate1,2,B1,54_869,WBTSRHB,RB2103,9/28/21,12:56+00:00,27.5_95.004,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,,15,0.510830045,monthly,4.6248,0.0317,1.36E-08,1.047212565,Low
GOMECC4_VERACRUZ_Sta87_Deep_A,Cluster 3,Cluster 3,A,GOMECC4_267,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,10/8/21,09:26-04:00,Sta87,VERACRUZ,offshore,19.609,93.5,NA,NA,NA,1070,Deep,2,2040,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,5.749,34.922,1079,5.749_87,5.749_1070,154.6,151.232,1.85093,25.873,27.721,0.00879,27.7298,0.08493,2214.06,2324.6,987,7.61897,87.6264,1.101,7.877,549,267,0.1114,16.71,8.191176471,Plate3,GOMECC2021_Plate3,46,F6,87_1070,WBTSRHB,RB2103,10/8/21,13:53+00:00,19.609_93.5,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",Slight DCM at 50 m.,,15,0.503498972,8-day,4.6404,0.0332,1.33E-08,1.04992638,Low
GOMECC4_VERACRUZ_Sta87_Deep_B,Cluster 3,Cluster 3,B,GOMECC4_268,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,AM cast,10/8/21,09:26-04:00,Sta87,VERACRUZ,offshore,19.609,93.5,NA,NA,NA,1070,Deep,2,2000,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,5.749,34.922,1079,5.749_87,5.749_1070,154.6,151.232,1.85093,25.873,27.721,0.00879,27.7298,0.08493,2214.06,2324.6,987,7.61897,87.6264,1.101,7.877,549,268,0.01641,2.4615,1.23075,Plate3,GOMECC2021_Plate3,59,C8,87_1070,WBTSRHB,RB2103,10/8/21,13:53+00:00,19.609_93.5,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,Bottle 1.,15,0.503498972,8-day,4.6368,0.0332,1.33E-08,1.04992638,Low
GOMECC4_VERACRUZ_Sta87_Deep_C,Cluster 3,Cluster 3,C,GOMECC4_269,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,10/8/21,09:26-04:00,Sta87,VERACRUZ,offshore,19.609,93.5,NA,NA,NA,1070,Deep,2,1980,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,5.749,34.922,1079,5.749_87,5.749_1070,154.6,151.232,1.85093,25.873,27.721,0.00879,27.7298,0.08493,2214.06,2324.6,987,7.61897,87.6264,1.101,7.877,549,269,0.0317,4.755,2.401515152,Plate3,GOMECC2021_Plate3,56,H7,87_1070,WBTSRHB,RB2103,10/8/21,13:53+00:00,19.609_93.5,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,,15,0.503498972,8-day,4.6404,0.0332,1.33E-08,1.04992638,Low
GOMECC4_LA_Sta39_Deep_A,Cluster 3,Cluster 3,A,GOMECC4_129,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,PM evening prior mapping run,9/25/21,16:55-04:00,Sta39,LA,offshore,27.737,89.999,NA,NA,NA,941,Deep,2,2060,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,5.583,34.919,949,5.58299999999999_39,5.58299999999999_941,160.9,160.753,1.83727,25.0941,27.4166,0.00781,27.4244,0.28897,2214.25,2325.09,973.05,7.63134,93.0685,1.131,7.885,545,129,0.1227,18.405,8.934466019,Plate1,GOMECC2021_Plate1,65,A9,39_941,WBTSRHB,RB2103,9/25/21,21:15+00:00,27.737_89.999,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,,13,0.459246934,monthly,4.1612,0.0313,1.30E-08,1.050057582,Low
GOMECC4_LA_Sta39_Deep_B,Cluster 3,Cluster 3,B,GOMECC4_130,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,9/25/21,16:55-04:00,Sta39,LA,offshore,27.737,89.999,NA,NA,NA,941,Deep,2,1940,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,5.583,34.919,949,5.58299999999999_39,5.58299999999999_941,160.9,160.753,1.83727,25.0941,27.4166,0.00781,27.4244,0.28897,2214.25,2325.09,973.05,7.63134,93.0685,1.131,7.885,545,130,0.09773,14.6595,7.556443299,Plate1,GOMECC2021_Plate1,45,E6,39_941,WBTSRHB,RB2103,9/25/21,21:15+00:00,27.737_89.999,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,Bottle data taken from deep bottle #1.,13,0.459246934,monthly,4.1612,0.0313,1.30E-08,1.050057582,Low
GOMECC4_LA_Sta39_Deep_C,Cluster 3,Cluster 3,C,GOMECC4_131,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,9/25/21,16:55-04:00,Sta39,LA,offshore,27.737,89.999,NA,NA,NA,941,Deep,2,2100,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,5.583,34.919,949,5.58299999999999_39,5.58299999999999_941,160.9,160.753,1.83727,25.0941,27.4166,0.00781,27.4244,0.28897,2214.25,2325.09,973.05,7.63134,93.0685,1.131,7.885,545,131,0.1299,19.485,9.278571429,Plate1,GOMECC2021_Plate1,57,A8,39_941,WBTSRHB,RB2103,9/25/21,21:15+00:00,27.737_89.999,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,,13,0.459246934,monthly,4.1612,0.0313,1.30E-08,1.050057582,Low
GOMECC4_BROWNSVILLE_Sta66_Deep_A,Cluster 3,Cluster 3,A,GOMECC4_213,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,10/2/21,19:41-04:00,Sta66,BROWNSVILLE,offshore,26.059,96.082,0.001,0.002,0,851,Deep,2,2000,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,5.749,34.916,859,5.749_66,5.749_851,154.8,153.007,1.82351,24.7795,27.7129,0.01464,27.7275,0.26747,2213.36,2327.73,990.35,7.62116,93.8403,1.178,7.896,537,213,2.289,343.35,171.675,Plate1,GOMECC2021_Plate1,5,E1,66_851,WBTSRHB,RB2103,10/3/21,4:00+00:00,26.059_96.082,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",DCM = 75 m.,Bottle 12.,13,0.466442913,8-day,4.5782,0.0337,1.27E-08,1.05167257,Low
GOMECC4_BROWNSVILLE_Sta66_Deep_B,Cluster 3,Cluster 3,B,GOMECC4_214,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,10/2/21,19:41-04:00,Sta66,BROWNSVILLE,offshore,26.059,96.082,0.001,0.002,0,851,Deep,2,1920,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,5.749,34.916,859,5.749_66,5.749_851,154.8,153.007,1.82351,24.7795,27.7129,0.01464,27.7275,0.26747,2213.36,2327.73,990.35,7.62116,93.8403,1.178,7.896,537,214,2.184,327.6,170.625,Plate1,GOMECC2021_Plate1,16,H2,66_851,WBTSRHB,RB2103,10/3/21,4:00+00:00,26.059_96.082,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,,13,0.466442913,8-day,4.5782,0.0337,1.27E-08,1.05167257,Low
GOMECC4_BROWNSVILLE_Sta66_Deep_C,Cluster 3,Cluster 3,C,GOMECC4_215,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,10/2/21,19:41-04:00,Sta66,BROWNSVILLE,offshore,26.059,96.082,0.001,0.002,0,851,Deep,2,2020,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,5.749,34.916,859,5.749_66,5.749_851,154.8,153.007,1.82351,24.7795,27.7129,0.01464,27.7275,0.26747,2213.36,2327.73,990.35,7.62116,93.8403,1.178,7.896,537,215,1.423,213.45,105.6683168,Plate1,GOMECC2021_Plate1,19,C3,66_851,WBTSRHB,RB2103,10/3/21,4:00+00:00,26.059_96.082,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,,13,0.466442913,8-day,4.5782,0.0337,1.27E-08,1.05167257,Low
GOMECC4_MERIDA_Sta97_Deep_A,Cluster 3,Cluster 3,A,GOMECC4_318,gomecc4,Assessing Ecosystem Responses of Gulf of Mexico Communities to OA using Environmental DNA,https://docs.google.com/document/d/1zf4T6ywQuVvSmMjoy13BDiqll27xVkGZ1fBcrev5jtg,https://docs.google.com/document/d/1n_Q-OjSPowot4hpHKYCxl50HwdaskSnl,NA,10/11/21,07:26-04:00,Sta97,MERIDA,offshore,22.971,90.499,NA,NA,NA,957,Deep,1,2000,Niskin bottle,CTD rosette,Pumped through Sterivex filter (0.22um) using peristaltic pump,Greater than 0.22um,water,seawater,5.403,34.927,965,5.403_97,5.403_957,164.1,163.049,1.74943,25.2584,26.8819,0.0039,26.8858,0.22844,2212.47,2327.71,959.45,7.6356,93.1316,1.157,7.9,525,318,0.1662,24.93,12.465,Plate2,GOMECC2021_Plate2,62,F8,97_957,WBTSRHB,RB2103,10/11/21,11:51+00:00,22.971_90.499,SRA,mimarks-survey,"{filtering of seawater, freezing filters}","{16S rRNA, 18S rRNA}",,Bottle 6.,5,0.658360422,8-day,3.3606,0.0325,1.26E-08,1.052086582,Low
