STATION_ID,eDNA,DATE_LOCAL,LATITUDE_DEC_N,LONGITUDE_DEC_E,DEPTH_METER,temp,salinity,oxygen,silicate,nitrate,nh4,dic,pH,pH_corrected,phosphate
32,N,9/23/21,29.758,-87.041,3,28.047,33.432,198.8,1.426627601,0.012702848,0.391834019,1980.025453,8.085651995,8.053,0.050811394
33,Y,9/23/21,29.463,-87.236,3,27.763,34.232,NA,1.551142599,0,0.365835519,2006.660574,8.085681144,8.058,0.039998017
34,N,9/24/21,29.052,-87.521,3,27.732,34.097,200.7,1.278541273,0,0.237345706,2004.394994,8.098997507,8.068,0.054696953
35,Y,9/24/21,28.701,-87.76,2,28.318,33.566,196.8,2.512235224,0,0.350794417,1998.986806,8.103562078,8.065,0.044948588
36,N,9/24/21,28.347,-88,3,27.727,30.548,199.7,2.304668576,0.136144892,0.339872501,1946.576739,8.114495829,8.087,0.134185973
37,N,9/25/21,27.001,-89.999,3,28.981,36.144,195.1,1.328346664,0,0.256501595,2029.389718,8.083353401,8.03,0.025357572
38,Y,9/25/21,27.584,-89.999,3,28.511,36.192,195.8,1.02616369,0.003901763,0.369692052,2037.534745,8.08794117,8.045,0.026336901
39,Y,9/25/21,27.737,-89.999,3,28.542,36.285,195.6,1.223985572,0,0.36963389,2038.835938,8.088885072,8.036,0.013654022
40,Y,9/25/21,27.91,-90.001,3,28.495,36.284,196.9,1.133315565,0,0.34136011,2039.698992,8.088318537,8.037,0.040963213
41,N,9/25/21,28.074,-89.998,3,28.497,36.166,196,1.182987321,0,0.292577243,2040.479355,8.088894918,8.043,0.033158754
42,N,9/26/21,28.245,-89.986,3,28.398,36.066,195.5,0.974400963,0,0.250671719,2040.657908,8.097708975,8.059,0.002926129
43,N,9/26/21,28.499,-90,3,27.832,33.528,196.7,3.772838282,0.017593546,0.291270935,2015.805652,8.092376918,8.051,0.038119351
44,N,9/26/21,28.745,-89.992,3,26.638,27.63,241.2,0.502494145,0.041220223,0.147215082,1898.962933,8.195049875,8.206,0.156047987
45,Y,9/26/21,28.935,-90.123,3,26.467,25.551,228.9,5.264177418,0.646719332,0.260456874,1898.025381,8.154776362,8.152,0.310582536
46,N,9/26/21,28.97,-90.21,2,26.197,25.7,232.8,4.477936919,0.246699334,0.459981229,1896.009591,8.151930398,8.154,0.269305249
47,N,9/26/21,28.877,-90.446,3,26.511,25.938,244.5,0.470647014,0.012773301,0.197494885,1904.677085,8.212672771,NA,0.169983159
48,N,9/26/21,28.827,-90.814,2,27.001,27.935,233.9,1.213625376,0,0.364970606,1910.649332,8.159957,8.157,0.147165567
49,Y,9/27/21,27.92,-93.579,3,28.671,35.627,194.5,1.781732727,0.048787862,0.161975702,2042.730587,8.100794625,8.051,0.015612116
50,Y,9/27/21,27.87,-93.831,2,28.522,35.419,197.2,1.522416169,0.011710894,0.196157468,2046.190651,8.092948726,8.043,0.020494064
51,N,9/27/21,27.691,-94.22,3,28.89,35.63,194.3,4.015324196,0.019515549,0.290781679,2059.144919,8.077410344,8.021,0.026345991
53,N,9/28/21,27.333,-95,3,29.213,35.981,195.3,1.606563292,0.017558069,0.29263448,2045.713185,8.105096163,8.048,0.015607172
54,Y,9/28/21,27.5,-95.004,3,29.131,35.755,194.2,1.473061718,0.011706451,0.31217202,2040.00014,NA,8.05,0.019510751
57,N,9/29/21,28.085,-95.001,4,28.57,35.048,NA,2.624892211,0.028308618,0.681359153,2035.299952,8.082398494,8.044,0.030260937
58,N,9/29/21,28.334,-94.999,4,28.297,33.913,197.3,5.071491642,0.022470489,0.799167822,2016.9989,8.083117833,8.04,0.089881956
59,Y,9/29/21,28.683,-95,3,27.756,31.776,195.3,12.16705361,0.037184175,1.146838252,1993.743925,8.050435735,8.034,0.265181883
61,Y,9/29/21,27.335,-96.783,3,28.714,34.696,194.6,6.114324157,0.012693423,0.394472526,2035.460884,8.101193219,8.038,0.124981394
62,N,9/30/21,26.067,-96.923,3,29.059,35.566,196.7,4.62912236,0,0.2478493,2056.177498,8.078475286,8.04,0.145391912
63,Y,9/30/21,26.061,-96.807,3,29.3,35.706,188.9,5.653114427,0.001951368,0.193185477,2069.99701,8.06799148,NA,0.089762949
64,N,10/2/21,26.061,-96.568,3,29.084,35.491,192.6,4.359739089,0,0.162953543,2055.024704,8.08091055,8.025,0.060497722
65,N,10/2/21,26.058,-96.325,3,28.768,35.107,195.3,1.747375883,0.048809382,0.27333254,2016.955833,8.106053178,8.054,0.011714252
66,Y,10/2/21,26.059,-96.082,3,29.39,35.353,195.9,1.513563167,0,0.297638147,2033.909486,8.106980845,8.052,0.025372432
67,N,10/2/21,26.058,-95.841,2,29.261,35.304,194.3,1.638784154,0.003904191,0.24596403,2036.471984,8.105477154,8.047,0.168856259
68,N,10/3/21,26.059,-95.55,2,29.219,35.583,194.5,1.702580454,0.010738753,0.874720233,2034.74425,8.105799582,8.054,0.025382507
69,N,10/3/21,26.059,-95.121,3,29.24,35.878,192.2,1.770741335,0.026341607,0.922931848,2045.213907,8.105876426,8.051,0.026341607
70,N,10/3/21,26.058,-94.671,3,29.272,36.091,186.7,1.235873699,0.002926299,0.284826456,2051.624415,8.098629216,NA,0.020484094
71,Y,10/3/21,26.058,-94.197,3,29.349,36.011,194,1.263148733,0.090712612,0.977355236,2048.150275,8.103537026,8.045,0.024385111
72,N,10/4/21,26.058,-93.729,2,28.931,35.847,194.5,1.27894589,0,0.887750389,2030.049785,8.123636294,8.055,0.005853299
73,N,10/4/21,26.057,-93.262,2,28.762,35.775,199,1.716126652,0,0.242930947,2040.092037,8.10599361,8.057,0.039025052
74,N,10/4/21,24.999,-93.416,3,29.435,36.202,192.8,1.132161702,0.050708362,0.139447996,2036.824252,8.098554674,8.039,0.001950322
75,N,10/5/21,22.275,-97.719,3,29.273,35.448,196.2,5.365804519,0.071231811,0.394214407,2044.69467,8.120439386,8.047,0.062449807
76,Y,10/5/21,22.274,-97.639,4,29.438,35.677,196.2,3.827328776,0.002926838,0.240976347,2044.793417,8.101765957,8.045,0.050731862
77,N,10/5/21,22.273,-97.546,4,29.58,35.992,194.6,2.547704185,0.005852307,0.316024562,2052.055328,8.105719835,8.043,0.037064609
78,N,10/5/21,22.275,-97.453,4,29.557,36.245,194.6,1.327261065,0.00195042,0.237951286,2055.403507,8.103694489,8.038,0.047785299
79,Y,10/6/21,22.274,-97.361,3,29.438,36.261,193,1.078441694,0,0.205742493,2051.792204,8.104609715,8.046,0.028277404
80,N,10/6/21,22.274,-96.77,3,29.298,36.02,193.4,1.673867767,0,0.174706898,2039.451403,8.108906186,8.045,0.010736178
81,N,10/6/21,22.274,-96.18,3,29.322,35.879,191.7,1.984988101,0,0.242880608,2033.402374,8.113672155,8.044,0.034139844
82,Y,10/6/21,22.276,-95.588,4,29.509,36.221,193.8,1.745693116,0.00780198,0.24673763,2055.941785,8.102878528,8.048,0.039009902
83,N,10/7/21,22.274,-95,2,29.536,36.197,193.3,1.117669878,0.005851675,0.219437803,2047.999894,8.105356858,8.044,0.041937002
84,N,10/7/21,20.729,-94.75,3,29.517,36.422,192.4,1.037542954,0,0.29546571,2054.993021,8.094647195,8.041,0.066309136
85,Y,10/7/21,20.601,-94.29,4,29.389,36.425,195.4,1.112632772,0,1.0063427,2057.363761,8.090680115,8.031,0.027303872
86,N,10/8/21,20.02,-93.771,3,29.403,34.943,193.1,6.675799987,0.003904547,0.117136423,2015.282078,8.098368168,8.027,0.069305717
87,Y,10/8/21,19.609,-93.5,3,29.283,34.766,193.7,6.956060748,0.003905705,0.149393219,2005.519518,8.102370223,NA,0.038080625
88,N,10/8/21,19.17,-93.299,4,29.346,35.268,194.2,9.189201748,0,0.107350488,2033.287242,8.095089906,8.04,0.04977159
89,Y,10/8/21,18.836,-93.066,4,29.27,33.063,200.5,17.48659366,0,0.176958149,2031.069389,8.082682583,8.037,0.067459184
90,N,10/9/21,22,-92.917,3,30.4368,36.158,192.9,2.868450058,0.102444645,0.707355882,NA,8.094175607,NA,NA
91,Y,10/9/21,21.733,-92.318,4,29.803,36.546,193.4,1.520462766,0,0.214561776,2056.252492,8.087371233,NA,0.026332582
92,N,10/10/21,21.45,-91.567,2,29.486,36.546,193.7,1.16643696,0,0.194081066,2059.545128,8.08504577,8.028,0.048764087
93,Y,10/10/21,21.167,-90.768,3,29.383,36.597,192.8,2.45663816,0,0.24576134,2078.282412,8.039651916,7.986,0.049737414
94,Y,10/10/21,21.701,-89.667,3,29.487,36.5,198.9,0.714908125,0,0.233101012,2065.591456,8.063967415,8.004,0.023407633
95,N,10/10/21,22.272,-90.043,2,29.767,36.313,194.6,0.825077791,0.020480654,0.186276428,2047.076946,8.09047664,8.026,0.031208616
96,N,10/11/21,22.659,-90.288,2,29.539,36.224,193.2,0.968507937,0.013654694,0.226277786,2052.597961,8.09695702,8.033,0.010728688
97,Y,10/11/21,22.971,-90.499,3,29.599,36.223,196.2,0.895328858,0,0.236998815,2044.937843,8.098386283,8.042,0.030234417
98,Y,10/11/21,23.183,-90.642,3,29.914,NA,192.6,1.007600222,0,0.242877498,2045.670619,8.101774794,NA,0.036090231
99,N,10/12/21,21.927,-88,3,29.218,36.389,195.1,0.690331506,0,0.211584657,2049.882909,8.08077734,8.028,0.031201424
100,Y,10/12/21,22.542,-88,2,28.922,36.232,193.5,1.049271773,0,0.211609642,2043.41674,8.087330073,8.031,0.033155428
101,N,10/12/21,23.156,-88.001,3,29.707,36.08,192.5,0.970391067,0.017554813,0.269173804,2042.13296,8.107079369,8.044,0.025356953
102,Y,10/12/21,23.769,-88.001,3,29.498,36.032,188.7,1.190936558,0,0.237016858,2039.177587,8.101126753,8.052,0.012679914
103,N,10/12/21,24.386,-88.002,3,29.312,36.169,193.1,1.412198928,0,0.289656824,2025.236173,8.082917835,8.025,0.032184092
104,N,10/13/21,24.994,-87.99,2,29.511,36.273,194.1,1.387723914,0,0.298414278,2025.406618,8.094085188,8.025,0.023405041
105,N,10/13/21,25.493,-87.998,3,29.501,36.268,194.2,1.413126498,0.000975243,0.157014055,2026.496397,8.087214365,7.903,0.03023252
106,Y,10/13/21,26,-88,3,29.63,36.291,194.4,1.3789152,0.029255627,0.256474326,2022.988998,8.090003099,8.045,0.020478939
107,Y,10/14/21,23.088,-86.273,3,29.991,36.272,193.6,1.280873425,0.015608511,0.145354258,2028.006562,8.095496099,8.02,0.015608511
109,Y,10/14/21,22.734,-86.49,3,30.012,36.258,189,1.248457713,0.000975358,0.239937967,2025.296946,8.095411669,8.028,0
110,N,10/15/21,22.54,-86.611,3,29.778,36.179,192,1.344796591,0,0.178461041,2023.216989,8.092760315,8.022,0.017553545
111,N,10/15/21,22.348,-86.744,3,28.986,36.238,192.7,NA,NA,NA,2036.700839,8.076227017,NA,NA
112,N,10/15/21,22.254,-86.81,3,28.905,36.212,193.1,1.519303882,0.018528096,0.213560687,2036.700839,8.077782636,8.022,0.215511013
113,N,10/15/21,22.206,-86.833,2,28.674,36.262,190.2,1.617916472,0.266239419,0.198948138,2043.605772,8.032615582,8.022,0.056563686
114,N,10/15/21,22.073,-86.916,2,28.52,36.255,193.8,1.303862695,0,0.185290884,2043.549675,8.062973049,8.018,0.02828124
115,Y,10/15/21,21.948,-86.992,3,28.464,36.325,193.1,1.492026915,0,0.19698656,2051.943842,8.052811425,8.017,0.04973423
116,N,10/15/21,21.551,-86.749,3,28.906,36.275,185.6,1.437444325,0.009751997,0.243799919,2056.908679,8.03508868,7.989,0.046809585
117,Y,10/15/21,21.591,-86.503,3,29.921,36.193,194.8,1.280513076,0.061441221,0.211630874,2021.047679,8.092130791,8.035,0.014628862
118,Y,10/15/21,21.633,-86.242,2,29.577,36.028,197.4,2.203214318,0.018530798,0.197011639,2021.2,8.08959284,8.038,0.029259154
119,N,10/16/21,21.665,-85.98,2,29.842,36.02,NA,2.336107486,0.038040999,0.26140994,2012.829872,8.093407993,8.015,0.029262307
120,N,10/16/21,21.678,-85.897,2,30.079,36.239,193.3,1.958246987,0.039984127,0.269161438,2017.447622,8.094447815,8.032,0.028281455
121,Y,10/17/21,24.4,-80.625,2,29.127,36.218,195.6,1.452113383,0.068265908,0.225277496,2022.000221,8.095080703,8.049,0.023405454
122,Y,10/17/21,24.517,-80.63,3,28.781,35.77,195.8,1.463377518,0.034145475,0.140484242,2025.494499,8.089378223,8.044,0.02146287
123,Y,10/17/21,24.735,-80.622,3,29.745,35.604,196.1,0.834214916,0.032197769,0.184405402,2024.469913,8.086608136,NA,0.035124839
124,N,10/18/21,24.466,-82.867,3,29.372,36.048,196,2.500609152,0.020480808,0.131662338,2041.584928,8.076304928,8.026,0.051689659
125,N,10/18/21,26.596,-82.696,3,28.626,35.816,194,8.04351273,0.018533439,0.166800955,2029.17778,8.089472381,8.049,0.066330204
126,N,10/18/21,26.63,-82.554,3,28.557,35.224,199.8,11.61774121,0.027324381,0.258605747,2019.510128,8.112659534,8.076,0.088804238
127,N,10/18/21,26.669,-82.417,3,28.686,35.502,151.6,14.77362339,0.043905234,0.378560684,2051.737296,8.061596039,8.019,0.120983311
128,N,10/19/21,27.034,-82.615,3,28.177,35.683,NA,11.9465183,0.019510891,0.148282768,2025.235051,8.110761004,8.074,0.091701186
129,N,10/19/21,26.955,-82.751,3,28.506,35.998,193.8,NA,NA,NA,2035.746974,8.097360021,NA,NA
130,N,10/19/21,26.879,-82.889,3,28.585,36.021,192,3.206803582,0.031209767,0.08777747,2050.784868,8.074127382,8.029,0.033160378
131,Y,10/19/21,26.729,-83.101,3,28.45,35.98,191,2.901623183,0.062421474,0.23310519,2056.080871,8.064355799,8.028,0.067298151
132,Y,10/19/21,26.62,-83.24,3,28.603,35.902,193.4,1.608420677,0.04389262,0.14435795,2040.946848,8.083050047,8.039,0.036089488
133,N,10/19/21,26.521,-83.409,3,28.783,36.046,194.2,2.235257203,0,0.196999108,2042.014849,8.078240665,8.039,0.052663128
134,N,10/19/21,26.387,-83.607,3,28.779,35.883,195.4,1.875614877,0.003901435,0.11704305,2033.493759,8.090321047,8.054,0.033162198
135,Y,10/19/21,26.259,-83.806,3,28.493,35.399,196.2,1.505523759,0.003902848,0.176603889,2030.58614,8.096157558,8.062,0.014635681
136,N,10/19/21,26.132,-84.003,3,28.524,35.541,196.6,1.049929119,0.009757706,0.107334761,2030.447921,8.096894941,8.063,0.022442723
137,N,10/19/21,26.002,-84.197,3,28.535,35.497,197,1.132905038,0.011709613,0.16491038,2029.743914,8.094865953,8.046,0.031225634
138,N,10/19/21,25.874,-84.393,3,28.534,35.373,196,1.319507219,0.205929011,0.154202767,2027.482705,8.096756395,8.051,0.021471271
139,N,10/20/21,25.745,-84.589,3,28.295,35.516,194.2,1.176891637,0.146379557,0.193221015,2027.843616,8.100862906,8.063,0.015613819
140,Y,10/20/21,25.658,-84.715,5,27.983,35.998,195.4,1.724588617,0.013656245,0.202892778,2040.595156,8.085427992,8.057,0.031214274
141,Y,10/20/21,25.574,-84.843,4,27.901,35.602,199.5,1.988842261,0.009758794,0.189320608,2039.009974,8.101219052,8.092,0.0331799
